operation	status	original_output
candidate_native_cargo	0	/tmp/463-sol2-candidate-native-cargo.log
candidate_wasm_scalar_cargo	0	/tmp/463-sol2-candidate-wasm-scalar-cargo.log
candidate_wasm_simd128_cargo	0	/tmp/463-sol2-candidate-wasm-simd128-cargo.log
candidate_native_compile	0	/tmp/463-sol2-candidate-native-compile.log
candidate_wasm_scalar_compile	0	/tmp/463-sol2-candidate-wasm-scalar-compile.log
candidate_wasm_simd128_compile	0	/tmp/463-sol2-candidate-wasm-simd128-compile.log
candidate_native_decode	0	artifacts/issue463-lane-bounds-candidate/native-x86_64-v3.disassembly.txt
candidate_wasm_scalar_decode	0	artifacts/issue463-lane-bounds-candidate/wasm-scalar.disassembly.txt
candidate_wasm_simd128_decode	0	artifacts/issue463-lane-bounds-candidate/wasm-simd128.disassembly.txt
lane_debug	0	/tmp/463-sol2-lane-debug.log
lane_release	0	/tmp/463-sol2-lane-release.log
allocation_debug	0	/tmp/463-sol2-alloc-debug.log
allocation_release	0	/tmp/463-sol2-alloc-release.log
graph_exact_debug_all_four	0	/tmp/463-sol2-graph-debug-*.log
graph_exact_release_all_four	0	/tmp/463-sol2-graph-release-*.log
host_exact_debug_both	0	/tmp/463-sol2-host-debug-*.log
host_exact_release_both	0	/tmp/463-sol2-host-release-*.log
lane_policy	0	/tmp/463-sol2-lane-policy.log
realtime_policy	0	/tmp/463-sol2-realtime-policy.log
graph_policy	0	/tmp/463-sol2-graph-policy.log
workspace_policy	0	/tmp/463-sol2-workspace-policy.log
clippy_lane	0	/tmp/463-sol2-clippy-lane.log
clippy_graph	0	/tmp/463-sol2-clippy-graph.log
candidate_g5	0	/tmp/463-sol2-candidate-g5.log
normal_worklet_builder	1	/tmp/463-sol2-worklet-build.log
manual_worklet_build	0	/tmp/463-sol2-worklet-manual-build.log
manual_staging_compound	unavailable	not captured after tool yielded; no numeric claim
direct_oracle_with_preceding_hash	0	/tmp/463-sol2-direct-oracle.log
native_body_extraction_and_hash	0	/tmp/463-sol2-candidate-native-body-hashes.log
oracle_input_rehash	0	/tmp/463-sol2-candidate-oracle-input-hash.log
