# backend	kernel_family	probe_symbol	required_groups	forbidden_scalar_families	forbidden_calls
x86_64-avx2	feedforward-gain	probe_gain_simd8	vmulps,%ymm	mulss,addss,subss,divss	call|callq
x86_64-avx2	feedforward-sum	probe_sum2_simd8	vaddps,%ymm	mulss,addss,subss,divss	call|callq
x86_64-avx2	recursive-svf	probe_svf_simd8	vmulps,%ymm,vaddps,%ymm	mulss,addss,subss,divss,vfmadd|vfnmadd|vfmsub|vfnmsub	call|callq
aarch64-neon	feedforward-gain	probe_gain_simd4	fmul,.4s	fmul s,fadd s,fsub s,fdiv s,fmla s	bl|blr
aarch64-neon	feedforward-sum	probe_sum2_simd4	fadd,.4s	fmul s,fadd s,fsub s,fdiv s,fmla s	bl|blr
# KNOWN RED on Darwin (iOS/macOS) only: svf_step's flush() (L::splat(FLUSH_EPS),
# crates/lane/src/kernels.rs:280-281) compiles there to two `bl _memset_pattern16` per frame
# iteration (LLVM emits memset_pattern16 only on Darwin; Linux AArch64 emits mov/movk/dup).
# Present on origin/main; a fix is a render-path kernel change needing its own #349 row.
aarch64-neon	recursive-svf	probe_svf_simd4	fmul,.4s,fadd,.4s	fmul s,fadd s,fsub s,fdiv s,fmla s,fmla|fmls|fmadd|fmsub|fnmadd|fnmsub	bl|blr
